"No.","Time","Time Diff","Source","Destination","Protocol","Length","Info"
"209","0.089284","0.000050","180.215.137.251","192.168.2.3","UDP","62","14645  >  80 Len=20"
"210","0.089491","0.000207","137.197.47.207","192.168.2.3","UDP","62","14646  >  80 Len=20"
"211","0.089548","0.000057","144.70.141.12","192.168.2.3","UDP","62","14647  >  80 Len=20"
"212","0.089697","0.000149","96.231.2.88","192.168.2.3","UDP","62","14648  >  80 Len=20"
"213","0.089754","0.000057","81.67.93.228","192.168.2.3","UDP","62","14649  >  80 Len=20"
"214","0.089911","0.000157","171.4.136.238","192.168.2.3","UDP","62","14650  >  80 Len=20"
"215","0.090027","0.000116","144.0.238.129","192.168.2.3","UDP","62","14651  >  80 Len=20"
"216","0.090118","0.000091","70.185.171.132","192.168.2.3","UDP","62","14652  >  80 Len=20"
"217","0.090277","0.000159","137.105.203.28","192.168.2.3","UDP","62","14653  >  80 Len=20"
"218","0.090558","0.000281","144.247.85.252","192.168.2.3","UDP","62","14654  >  80 Len=20"
"219","0.090612","0.000054","253.64.19.146","192.168.2.3","UDP","62","14655  >  80 Len=20"
"220","0.090762","0.000150","253.2.209.51","192.168.2.3","UDP","62","14656  >  80 Len=20"
"221","0.090807","0.000045","242.25.239.187","192.168.2.3","UDP","62","14657  >  80 Len=20"
"222","0.091009","0.000202","185.114.207.62","192.168.2.3","UDP","62","14658  >  80 Len=20"
"223","0.091061","0.000052","58.96.185.162","192.168.2.3","UDP","62","14659  >  80 Len=20"
"224","0.091230","0.000169","73.107.39.58","192.168.2.3","UDP","62","14660  >  80 Len=20"
"225","0.091283","0.000053","121.124.89.132","192.168.2.3","UDP","62","14661  >  80 Len=20"
"226","0.091471","0.000188","89.187.223.255","192.168.2.3","UDP","62","14662  >  80 Len=20"
"227","0.091524","0.000053","105.144.88.32","192.168.2.3","UDP","62","14663  >  80 Len=20"
"228","0.091680","0.000156","181.19.189.231","192.168.2.3","UDP","62","14664  >  80 Len=20"
"229","0.091733","0.000053","58.19.239.251","192.168.2.3","UDP","62","14665  >  80 Len=20"
"230","0.091925","0.000192","109.169.223.12","192.168.2.3","UDP","62","14666  >  80 Len=20"
"231","0.091977","0.000052","4.89.189.98","192.168.2.3","UDP","62","14667  >  80 Len=20"
"232","0.092136","0.000159","221.238.14.110","192.168.2.3","UDP","62","14668  >  80 Len=20"
"233","0.092189","0.000053","107.189.229.2","192.168.2.3","UDP","62","14669  >  80 Len=20"
"234","0.092388","0.000199","135.2.253.19","192.168.2.3","UDP","62","14670  >  80 Len=20"
"235","0.092447","0.000059","111.148.135.239","192.168.2.3","UDP","62","14671  >  80 Len=20"
"236","0.092590","0.000143","46.251.151.123","192.168.2.3","UDP","62","14672  >  80 Len=20"
"237","0.092635","0.000045","251.165.104.132","192.168.2.3","UDP","62","14673  >  80 Len=20"
"238","0.092806","0.000171","152.121.60.67","192.168.2.3","UDP","62","14674  >  80 Len=20"
"239","0.092864","0.000058","186.101.62.8","192.168.2.3","UDP","62","14675  >  80 Len=20"
"240","0.093049","0.000185","143.223.127.57","192.168.2.3","UDP","62","14676  >  80 Len=20"
"241","0.093102","0.000053","210.223.135.2","192.168.2.3","UDP","62","14677  >  80 Len=20"
"242","0.093270","0.000168","85.200.106.241","192.168.2.3","UDP","62","14678  >  80 Len=20"
"243","0.093321","0.000051","165.213.171.114","192.168.2.3","UDP","62","14679  >  80 Len=20"
"244","0.093508","0.000187","187.32.211.96","192.168.2.3","UDP","62","14680  >  80 Len=20"
"245","0.093629","0.000121","39.20.111.181","192.168.2.3","UDP","62","14681  >  80 Len=20"
"246","0.093755","0.000126","166.207.160.255","192.168.2.3","UDP","62","14682  >  80 Len=20"
"247","0.093808","0.000053","215.255.156.104","192.168.2.3","UDP","62","14683  >  80 Len=20"
"248","0.094003","0.000195","251.70.186.238","192.168.2.3","UDP","62","14684  >  80 Len=20"
"249","0.094041","0.000038","215.98.77.169","192.168.2.3","UDP","62","14685  >  80 Len=20"
"250","0.094214","0.000173","220.229.14.81","192.168.2.3","UDP","62","14686  >  80 Len=20"
"251","0.094267","0.000053","107.107.169.51","192.168.2.3","UDP","62","14687  >  80 Len=20"
"252","0.094458","0.000191","92.16.67.130","192.168.2.3","UDP","62","14688  >  80 Len=20"
"253","0.094510","0.000052","183.253.106.203","192.168.2.3","UDP","62","14689  >  80 Len=20"
"254","0.094675","0.000165","104.165.181.146","192.168.2.3","UDP","62","14690  >  80 Len=20"
"255","0.094726","0.000051","165.85.110.240","192.168.2.3","UDP","62","14691  >  80 Len=20"
"256","0.094919","0.000193","89.159.110.202","192.168.2.3","UDP","62","14692  >  80 Len=20"
"257","0.094970","0.000051","181.73.51.146","192.168.2.3","UDP","62","14693  >  80 Len=20"
"258","0.095132","0.000162","25.143.253.20","192.168.2.3","UDP","62","14694  >  80 Len=20"
"259","0.095185","0.000053","191.108.203.83","192.168.2.3","UDP","62","14695  >  80 Len=20"
"260","0.095345","0.000160","183.94.100.42","192.168.2.3","UDP","62","14696  >  80 Len=20"
"261","0.095402","0.000057","160.107.187.107","192.168.2.3","UDP","62","14697  >  80 Len=20"
"262","0.095596","0.000194","55.105.73.8","192.168.2.3","UDP","62","14698  >  80 Len=20"
"263","0.095653","0.000057","249.107.107.251","192.168.2.3","UDP","62","14699  >  80 Len=20"
"264","0.095804","0.000151","165.121.251.201","192.168.2.3","UDP","62","14700  >  80 Len=20"
"265","0.096294","0.000490","200.189.191.179","192.168.2.3","UDP","62","14701  >  80 Len=20"
"266","0.096352","0.000058","185.152.105.12","192.168.2.3","UDP","62","14702  >  80 Len=20"
"267","0.096507","0.000155","107.16.52.107","192.168.2.3","UDP","62","14703  >  80 Len=20"
